name,total,count
"Bank of America",238451,26
"Jennmar Corp",236950,7
"Northwestern Mutual Life Insurance",235110,16
"Painters & Allied Trades Union",235000,37
"Fidelity Investments",230321,6
"WilmerHale LLP",228731,6
"Plumbers/Pipefitters Union",228000,39
"Huntington Ingalls Industries",225920,17
"Ohio State University",225632,1
"Teamsters Union",225000,38
"Alticor Inc",219800,14
"Pinnacle West Capital",219055,11
"Eye of the Tiger PAC",218500,25
"Covington & Burling",217550,8
"Investment Co Institute",215500,31
"KPMG LLP",213200,23
"Bryan, Cave et al",209053,4
"University of Wisconsin",206453,1
"Marathon Petroleum",204235,20
"Wells Fargo",202850,12
"Deere & Co",200500,28
"National Multifamily Housing Council",199500,37
"Davis, Polk & Wardwell",197720,1
"Facebook Inc",196420,9
"Stanford University",192750,7
"Edison Chouest Offshore",192400,8
"American Federation of State/Cnty/Munic Employees",191035,46
"Fedex Corp",186104,7
"Cooney & Conway",185690,8
"Air Line Pilots Assn",185500,28
"Corning Inc",184366,6
"Dominion Energy",181660,12
"University of Pennsylvania",181169,1
"American Society of Anesthesiologists",181100,36
"Carlyle Group",180500,5
USAA,179190,26
"University of Missouri",177998,1
"Duty Free Americas",177000,7
"BAE Systems",176313,15
"Prosperity Action",175000,24
"Verizon Communications",174825,16
"National Rural Electric Cooperative Assn",174510,36
"Land O'Lakes",174305,12
"Intel Corp",174231,15
"Bk2 Holdings",173600,24
"Exxon Mobil",173076,14
"Blank Rome LLP",173001,2
"American Hotel & Lodging Assn",168500,21
"DTE Energy",167016,9
"Republican Jewish Coalition",165861,7
"McGuireWoods LLP",164770,6
"Live Oak Bank",164750,5
"Federated Investors Inc",163755,4
"BlackRock Inc",163450,5
"Boies, Schiller & Flexner",163060,2
"Merck & Co",162260,11
"University of Wisconsin/Madison",161218,1
"Union Pacific Corp",161100,13
"Renaissance Technologies",160900,10
"Procter & Gamble",160748,4
"Holland & Knight",159769,8
DowDuPont,159085,6
"Burns & McDonnell",158718,4
Anheuser-Busch,156700,19
"Signature Bank",156328,3
"Hanning & Bean Enterprises",155400,2
"Mortgage Bankers Assn",154500,25
"Walt Disney Co",154443,8
"United Food & Commercial Workers Union",153500,24
"Select Medical Corp",153150,12
"FirstEnergy Corp",153050,14
"Williams Companies",151000,22
"Pershing Square Capital Management",150800,2
"Senegence International",150800,26
"University of Pittsburgh Medical Center",148834,2
Nationwide,147990,9
"Barnes & Thornburg",147646,4
"University of Washington",147574,2
"BGR Group",147294,8
"Chevron Corp",146900,9
"Express Scripts",145738,6
"Mountaire Corp",145600,26
"American Institute of CPAs",143000,24
"Yale University",142716,4
"DLA Piper",142710,8
"Cisco Systems",142590,8
"Ally Financial",141500,19
"American Maritime Officers",140000,25
"Gibson, Dunn & Crutcher",139309,5
"Edward Jones",138600,2
"Nelson, Mullins et al",137446,7
"University of Texas",136412,1
"PG&E Corp",135335,9
"Aspect Holdings",135149,19
"Kessler, Topaz et al",134552,1
"Irving Moskowitz Foundation",134400,24
"Craig Realty Group",134400,24
"Susman Godfrey Llp",134125,2
"Scana Corp",134054,2
"Devon Energy",133800,5
"SMART Transportation Division",133000,28
"Woodbranch Investments",132600,14
"Ford Motor Co",132573,11
"Charles Schwab Corp",132500,14
"Lowe's Companies",131800,14
"Norfolk Southern",131002,17
"Leon Medical Centers",130300,4
"International Assn of Fire Fighters",130050,24
"Walmart Inc",129405,11
"Station Casinos",127700,3
"Wachtell, Lipton et al",127446,3
ConocoPhillips,125901,5
"US Bancorp",125695,7
"Citizens for Prosperity in America Today",124342,5
"Air Products & Chemicals Inc",123635,2
"Take Back the House 2020",123419,1
"Bain Capital",123004,6
"Jackson National Life Insurance",122600,6
"Visa Inc",122502,8
"Georgia Power",122500,3
"Saltchuk Resources",122350,4
"Grimmway Enterprises",121934,14
"Marriott International",121725,5
"Robbins, Geller et al",121450,4
"Leidos Inc",120960,14
"King & Spalding",120950,7
"Faegre Baker Daniels",120720,5
"NCTA The Internet & Television Assn",120500,19
"Edison International",119900,12
"Fierce Government Relations",119400,7
"American Assn of Orthopaedic Surgeons",118500,23
"Liberty Media Corp",118249,3
"Reyes Holdings",117700,6
"Granite Telecommunications",117400,6
"DCI Group",117300,3
"AQR Capital Management",117200,6
"Husch Blackwell LLP",116229,3
"Duke Energy",116050,9
"Buchanan, Ingersoll & Rooney",115547,5
"Arnold & Porter",114600,2
"Reed Smith LLP",114235,5
"Massachusetts Mutual Life Insurance",114000,21
"University of Texas/Austin",113953,1
"Baylor College of Medicine",113579,1
"Morgan & Morgan",113400,1
"Mylan Inc",112925,7
"National Assn of Letter Carriers",112500,24
"Pachulski, Stang et al                  ",112500,2
"Textron Inc",112500,14
"American Financial Group",112050,4
"Steptoe & Johnson",111975,9
"PNC Bank Corp",111750,4
"Power, Rogers & Smith",111724,4
"Reynolds American",111325,5
"Kirkham Motorsports",111200,1
"University of Pittsburgh",110784,1
"Xcel Energy",110775,8
"McNa Dental Plans",109628,4
"National Assn of Insurance & Financial Advisors",109500,19
"Matson Inc",108195,4
"General Motors",108090,22
"Communications Workers of America",107531,19
"Madison Dearborn Partners",107500,7
"Charter Brokerage LLC",107090,5
"American College of Emergency Physicians",106813,19
"Steward Health Care",106650,3
"Ariel Corp",106250,13
"Amway/Alticor Inc",105600,3
"Clearpath Foundation",105400,13
"United Airlines",105221,7
"Harvard University",105154,5
"Coca-Cola Co",104450,8
"Farm Credit Council",104001,18
"Bloomberg Lp",103960,4
"Cleveland Clinic",103924,2
TIAA,103200,18
"Foley & Lardner",102893,4
"National Electrical Contractors Assn",102500,15
"Oaktree Capital Management",102200,2
"Citadel LLC",102000,5
"US Government",100848,3
"Florida Crystals",100500,4
"Gibbons PC",100075,2
"Hogan Lovells",100018,2
"West Virginia State Democratic Exec Cmte",100000,1
"Enterprise Rent-A-Car",99700,4
"National Assn of Convenience Stores",99500,17
"Case Western Reserve University",99356,1
"Hallmark Cards",99000,5
"Total System Services",98800,5
"National Assn of Real Estate Investment Trusts",98200,14
"United Technologies",98100,13
"Welsh, Carson et al",97900,4
"Emerson Electric",97600,5
"Poet LLC",97500,10
"Newmark, Grubb et al",97300,2
"PVS Chemicals",97100,3
"Paloma Partners",96600,13
"Pride Mobility Products",95650,2
BP,95582,5
"Telapex Inc",95050,2
"Thornton Law Firm",94900,4
"Valero Energy",94500,13
"Yancey Brothers",94400,12
"MGM Resorts International",94100,5
"The Villages",93900,1
"Sanford Health",93893,3
"University of Minnesota",93850,3
"Premier Inc",93300,4
"SunTrust Banks",93250,9
"K&L Gates",93124,5
"Polsinelli PC                                     ",92692,1
"Genentech Inc",91800,8
"Fresenius Medical Care",91150,3
"Sinclair Broadcast Group",90850,6
"Cardinal Health",90440,10
"Lowenstein Sandler Llp",89770,3
"Nucor Corp",89700,6
"Cozen O'Connor",89550,5
"Estee Lauder Companies",89190,3
"Nike Inc",88972,4
"Putnam Investments",88789,6
"Alston & Bird",88550,6
"T-Mobile USA",88537,18
"Polsinelli PC",88475,3
"Indiana University",88331,1
"United Mine Workers of America",88000,16
"National Stone, Sand & Gravel Assn",88000,17
"Thompson Coburn LLP",87873,3
"Ballard Spahr LLP",87353,3
"Berger & Montague",87041,2
"American Optometric Assn",86499,14
"CMS Energy",86100,9
"American Council of Life Insurers",86000,15
Freeport-McMoRan,86000,4
"Sierra Nevada Corp",85205,7
"Watco Companies",85060,2
"Caterpillar Inc",85000,14
"Ryan LLC",84866,2
"American Dental Assn",84659,11
"Uline Inc",84516,7
"CGCN Group",84350,7
"Capital One Financial",84300,12
"AmerisourceBergen Corp",84000,14
"Arizona Diamondbacks",83736,8
"Wexford Capital",83700,2
"Woodforest National Bank",83601,1
"Ultimate Fighting Championship",83000,3
"IBM Corp",82991,1
"Sempra Energy",82450,8
"Genworth Financial",81626,2
"LHC Group",81550,4
"Welsh, Carson et al                     ",81400,4
"Emily's List",81020,1
"Purdue University",80653,2
"Trident Seafoods",80450,2
"Young, Conaway et al",80300,2
"Henry Ford Health System",80193,2
"CoreCivic Inc",80150,3
"University of Colorado",80077,1
"National Republican Congressional Cmte",80000,2
"Akerman LLP",79669,4
"Simpson, Thacher & Bartlett",79527,3
"Dorsey & Whitney",79465,2
"Oshkosh Corp",79044,6
"Sheet Metal & Air Conditioning Contractors Assn",78500,12
"Spirit Aerosystems",78400,5
"American Chemistry Council",78000,12
"Ochsner Health System",77900,1
"Baker & Hostetler",77809,3
SpaceX,77200,8
"Edge Creek",76600,1
"CVS Health",75935,7
"Service Employees International Union",75526,12
"Texas A&M University",75167,2
"Making America Prosperous",75000,9
"Masimo Corp",74756,3
"Cigna Corp",74700,10
"National Apartment Assn",74500,14
"Sanderson Farms",74400,3
"Rice University",74380,1
"Greater New York Hospital Assn",74300,6
"Kleiner, Perkins et al",74100,6
"Kobayashi, Sugita & Goda",74035,2
"American Express",73650,5
"American College of Radiology",73500,11
"WilmerHale Llp",73300,1
"Purpose PAC",73000,16
"Parman Capital Group",72800,13
"Franklin Mountain Management",72800,13
"Bayer Corp",72750,9
"National Assn of Home Builders",72500,12
"Blessey Marine Service",72500,4
"Tellurian Inc",72100,3
"Target Corp",71626,6
"General Mills",71610,3
"Snell & Wilmer",71465,2
"Arnold & Porter Kaye Scholer",71455,4
"Law Offices of Peter G Angelos",71400,2
"Unitedhealth Group",71130,3
"Tuesday Group PAC",71000,13
"National Cotton Council",71000,10
"RDV Corp",70900,6
"CSX Corp",70700,9
"Breckenridge Grand Vacations",70200,1
"Williams Kherkher",70200,2
"Humanscale Corp",70100,2
"Monsanto Co",70000,1
"Bluegrass Cmte",70000,7
"Crow Holdings",69600,7
"National Assn of Realtors",69500,14
"Independent Insurance Agents & Brokers of America",69500,9
"Lanier Law Firm",69200,5
"Alliance Coal",69066,4
"UnitedHealth Group",68500,14
"Guardian Life Insurance",68350,6
"Pisces Inc",68300,5
"Gilead Sciences",68250,4
"Ross Feller Casey LLP",67925,1
"University of Florida",67499,1
"Venable LLP",67382,3
"Heritage Group",67000,2
"Medquest Pharmacy",66900,7
"Cubic Corp",66300,8
"Franklin Resources",66000,5
"Brown Rudnick Llp",65625,1
"University of New Mexico",65541,2
"Rite Aid Corp",65500,1
"Cargill Inc",65035,4
"DreamWorks SKG",65000,4
"Robins Kaplan LLP",64885,2
"Gallery Furniture",64800,1
"Parsons Corp",64602,12
"PPL Corp",64527,4
"Ironworkers Union",64500,12
"Kindred Healthcare",64250,2
"University of Maryland",63797,3
"York Capital Management",63500,1
"Lieff, Cabraser et al                   ",63325,1
Dell,63132,1
"Caesars Entertainment",63100,1
"Arizona State University",62983,1
"Edgar, Snyder & Assoc",62855,1
"Fisher Investments",62800,5
"American Council of Engineering Cos",62500,13
"Regions Financial",62500,9
"JUUL Labs",62300,9
"Viacom Inc",62200,1
"Silver Eagle Distributors",62200,7
"BB&T Corp",62150,3
"State Street Bank & Trust",62100,4
"State of Missouri",62081,1
"Amalgamated Transit Union",62000,11
"Ergon Inc",62000,4
"State of Montana",61896,1
"American Postal Workers Union",61505,10
"Toyota Motor North America",61500,15
"Cheniere Energy",61400,2
"Sequoia Capital",61400,4
"CME Group",61349,8
"Clifford Law Offices",61250,3
"McDonald's Corp",61026,5
"Korein Tillery LLC",60950,1
"Thompson Hine Llp",60492,1
"Berkshire Hathaway Energy",60350,8
"Western National Group",60344,9
"Jones Day",60259,1
"Bartlett & Co",60200,3
"University of Texas/Southwestern",60091,1
"Rely on Your Beliefs",60000,6
"Bricklayers Union",60000,13
"Davis, Bethune & Jones",59700,1
"Intellectual Ventures LLC",59685,4
"Allergan PLC",59300,4
"Primerica Financial Services",59150,1
"Golden Gate Capital",59000,1
"USA Rice Federation",59000,6
"Qualcomm Inc",58910,4
"Pilot Catastrophe Services",58800,1
"St Louis University",58681,1
"Massachusetts Institute of Technology",58636,2
"International Paper",58500,11
"Common Values PAC",58500,4
"American Electric Power",57850,5
"Willis Towers Watson",57736,2
"Subject Matter",57600,5
"Associated Builders & Contractors",57500,9
"FedEx Corp",57100,9
"Capitol Counsel",57000,7
"Medtronic Inc",56921,3
"Drummond Co",56600,3
"Nextera Energy",56510,2
"Dell Technologies",56500,6
"Standard Textile",56498,2
"Van Scoyoc Assoc",56478,5
"Alexander & Baldwin",56400,2
"Acadian Ambulance Service",56400,4
"International Speedway",56300,5
"State of Wisconsin",56046,1
"Lockridge Grindal Nauen PLLP",56026,3
"Publix Super Markets",55705,5
"Stewart Title Guaranty",55615,1
"Marshfield Clinic",55604,1
"United Auto Workers",55600,12
alliantgroup,55550,2
"Padgett Inc",55500,1
"Seemann Composites",55400,4
"Penn Mutual Life Insurance",55350,1
"NVR Inc",55200,2
"Liberty Mutual Insurance",55000,9
"AmeriPAC: The Fund for a Greater America",55000,7
"Ciciora Custom Homes",54900,1
"Arent Fox LLP",54562,1
"Tenax Aerospace",54400,2
"Blue Cross/Blue Shield",54350,1
"Dannenbaum Engineering",54300,7
"Kohrman, Jackson & Krantz",54268,1
"Oberlin College",54124,1
"University of Virginia",54031,1
"Arizona Diamondbacks/Datatel Inc",54000,1
"Novogradac & Co",54000,3
"Pence Group",54000,1
"Dwd Mechanical Contractor",54000,1
"Agree Realty",54000,1
"Oasis Petroleum",53800,3
"Wine & Spirits Wholesalers of America",53654,8
"Allstate Insurance",53615,9
"Johns Hopkins University",53522,2
"McCoy Group",53399,3
"Wiley Rein LLP",53375,1
"Kjb Inc",53200,1
"Abbott Laboratories",53100,9
"Molina Healthcare",53100,5
"American Hospital Assn",53000,9
"Carella, Byrne et al",52800,3
"Northwest Excavating",52800,5
"Proskauer Rose",52700,3
"State Farm Mutual Automobile Insurance",52500,9
"Schneider National",52100,2
"National Rural Letter Carriers Assn",52000,10
"American Land Title Assn",52000,10
"Braman Motorcars",52000,1
"Lazard Ltd",51955,3
"Oregon Health & Science University",51390,2
"Form G Tech",51300,1
"Intercontinental Exchange Inc",50700,5
"Squire Patton Boggs",50652,3
"Wilson, Sonsini et al",50600,3
"IDT Corp",50500,2
"GoldenTree Asset Management",50500,2
"HCA Inc",50500,1
"Council for a Livable World",50487,2
"OGE Energy",50220,3
"Pitney Bowes Inc",50143,6
Moveon.org,50060,3
"Cloud Peak Energy Resources",50000,4
"American Kidney Stone Management",50000,6
"Grant & Eisenhofer",49900,2
"Technology Crossover Ventures",49800,5
"Comprehensive Urology",49800,1
"HJ Kalikow & Co",49600,2
"Crescent Capital Group",49600,1
Experian,49500,12
"Thrivent Financial",49300,5
"University of Notre Dame",49131,1
"Mmr Constructors",49100,1
"Baker, Donelson et al",49050,2
"University of Arizona",48816,1
"Abc Supply",48806,1
"Frost Brown Todd Llc",48735,1
"Pacers Sports & Entertainment",48650,1
"Heartland Realty Investors",48600,4
"Nimeks Organics",48600,4
"Southwest Airlines",48550,1
"Zachry Holdings",48400,3
"Koskoff, Koskoff & Bieder",48275,2
"American Academy of Dermatology Assn",48000,10
"Hunton Andrews Kurth LLP",47960,1
"Celgene Corp",47900,4
"Alkermes Inc",47500,3
"American College of Rheumatology",47500,9
"Williams & Jensen",47150,7
"Doterra International",47000,2
"Jacobs Engineering Group",47000,9
"Cinemark USA",47000,2
"American Congress of Obstetricians & Gynecologists",47000,7
"University of Cincinnati",46968,1
"Atlas Air Worldwide",46950,7
"Zions Bancorp",46900,2
"State of Washington",46709,2
"Red Apple Group",46300,4
"Medical College of Wisconsin",46262,1
"Ecolab Inc",46240,2
Dentons,46150,1
"American Financial Services Assn",46000,8
"Ball Corp",46000,6
"Panepinto Properties",46000,1
"Bollinger Shipyards",45900,2
"Baker Hughes Inc",45900,1
"McKee Foods",45800,4
"Michael, Best & Friedrich",45578,1
"Energy Capital Partners",45500,1
"Melaleuca Inc",45395,1
"Haddon, Morgan, Foreman Pc",45300,1
"Access Industries",45200,1
"Bergman Draper Oslund",45150,2
"Discovery Inc",45100,3
"RJ Reynolds Tobacco",45050,1
"American Academy of Ophthalmology",45000,9
"Yellowstone Bank",45000,2
"Desert Caucus",45000,5
"Montana State University",44991,1
"3M Co",44869,2
"Ellingson Companies",44850,1
"COLSA Corp",44800,2
"Bk2 Holdings LLC",44800,8
"University of Montana",44726,1
CenturyLink,44640,3
"Franklin L Haney Co",44500,3
"Lockton Companies",44450,1
Amazon.Com,44419,1
"Irwin R Rose & Co",44400,1
"Western National Property Management",44336,8
"New Mountain Capital",44300,4
"Hess Corp",44200,2
"Independent Community Bankers of America",44000,8
TransAmerica,43715,7
"Equity Prime Mortgage",43700,1
"Cornerstone Government Affairs",43650,3
"Asphalt Materials Inc",43500,1
"Skadden, Arps et al",43470,2
"Oracle Corp",43414,5
"TCF Financial",43380,3
"1-800 Contacts",43350,1
"Apollo Education Group",43250,2
"Associated Medical Professionals",43115,1
"Vorys, Sater et al",43061,1
"American Assn of Orthodontists",43000,5
"National Institutes of Health",42973,1
"Arizona Tile",42900,1
"Cotchett, Pitre & McCarthy",42900,2
"Pbf Energy",42750,1
"Anadarko Petroleum",42700,4
"US Dept of Justice",42655,1
"Apollo Management                       ",42500,2
"American Sugar Cane League",42500,8
"TCW Group",42500,4
"American Federation of Government Employees",42500,10
"Willkie, Farr & Gallagher",42420,1
"Medtronic Inc                                     ",42050,1
"Crowell & Moring",41970,3
"Senior Star",41900,3
"Williams Brothers Construction",41900,4
"Susan B Anthony List",41835,3
"Vista Equity Partners",41650,1
"Continental Resources",41650,3
"Sony Pictures Entertainment",41563,2
"HDR Inc",41500,5
"Camcraft Inc",41300,2
Insperity,41225,1
"State of Arkansas",40930,3
"Quinn, Emanuel et al                    ",40775,1
"Nationwide Children's Hospital",40764,2
"Investment Property Exchange Services",40750,1
"Johnson & Johnson",40750,6
"Crop Insurance Professionals Assn",40710,4
"Northwestern University",40575,2
"Kansas City Southern",40554,2
"Sterling Group",40500,1
"National Community Action Foundation",40500,7
"M International",40500,1
"Shotgun Creek Investments",40500,1
"Womble Bond Dickinson",40350,1
"Nickles Group",40200,2
"Zillow Inc",40130,1
"Pacific Life Insurance",40006,7
"Century 21 Department Stores",40000,2
"CRH Americas",40000,6
"Laborers Union/Midwest Region",40000,9
"Project West PAC",40000,4
"Lieff, Cabraser et al",39746,1
"Anthem Inc",39500,6
"Bristol-Myers Squibb",39500,6
"Entertrainment Junction",39350,6
"Unum Group",39286,5
"Diamond Pet Foods",39100,1
"American College of Cardiology",39000,7
"American Health Care Assn",39000,8
"National Rural Water Assn",39000,4
"Congaree River LP",38950,1
"Southwestern Co",38800,1
"Total Wine & More",38800,1
"Walt Disney Co                          ",38781,1
"Aar Corp",38700,1
"Columbia Capital",38655,1
"TAMKO Building Products",38600,3
"Cincinnati Children's Hospital Medical Center",38509,1
"State of Illinois",38507,2
"National Assn of Health Underwriters",38500,6
"Transport Workers Union",38500,7
"New York Cancer & Blood Specialists",38500,2
"Performance Trust                                 ",38425,1
"KKR & Co                                ",38300,2
"Mack-Cali Realty",38200,1
"Delta Dental Plans Assn",38200,1
"Henry Crown & Co",38000,4
"S-3 Group",37900,3
"Discover Financial Services",37888,3
"Ocean Star International",37800,1
"Bram Corp",37800,1
"Clinical Care Options",37800,1
"Marsh & McLennan",37750,1
"Radiance Technologies",37600,6
"Mississippi Power",37500,4
"Online Lenders Alliance",37500,6
"AECOM US",37500,8
"NASDAQ Inc",37250,5
"Boyd Gaming",37136,1
"Chickasaw Nation",37050,5
"Aristotle International",37000,1
"Archer Daniels Midland",37000,6
"American Forest & Paper Assn",37000,5
"Winning for Women",37000,2
"Waddell & Reed",37000,1
"Berger Singerman PA",36996,1
"Boilermakers Union",36500,6
AegisPAC,36500,1
"Michigan State University",36445,1
"Robert W Baird & Co",36400,1
"Protective Life Corp",36300,4
"Sv Angel LLC",36300,4
"Direct Supply Inc",36200,4
"Korein Tillery Llc",36200,2
"Kaiser Permanente",36015,4
"Building Leadership & Inspiring New Enterprise",36000,4
"Tarplin, Downs & Young",36000,2
"Fidelity National Financial",35920,1
"Epic Systems",35907,1
"Avalon Advisors",35900,1
"Sukup Manufacturing",35900,1
"Jane Street Capital",35700,2
"Bath Iron Works",35650,1
"Troutman Sanders",35568,1
"Wilks Brothers",35528,1
"Securities Industry & Financial Mkt Assn",35500,4
"Paul, Weiss et al                                 ",35500,1
"Allergan Inc",35450,2
"Habush, Habush & Rottier",35386,1
"American Trucking Assns",35200,5
"Bad Robot Productions",35200,3
"Charmer Sunbelt Group",35100,1
"Kratos Defense & Security Solutions",35100,4
"Frank Calandra Inc",35100,1
SAIC,35025,6
"Triumph Group",35000,4
"Professional Aviation Safety Specialists",35000,8
"National Turkey Federation",35000,5
"American Speech-Language-Hearing Assn",35000,8
"UFCW Local 881",35000,5
"Morgan Lewis LLP",35000,1
"Asian American Hotel Owners Assn",35000,6
"Senate Victory Fund",35000,2
"National Thoroughbred Racing Assn",35000,5
"Sinclair Companies",34900,3
"NV Energy",34764,1
"Beacon Capital Partners",34700,2
"Seafarers International Union",34500,9
"Mbi Energy Services",34420,2
"Black Hills Corp",34400,2
"Protecting Integrity & Truth Together PAC",34301,4
"Vibra Healthcare",34300,1
"Commonwealth of Massachusetts",34229,2
"LPL Financial",34000,7
"Brighthouse Financial",33900,1
"Frauenshuh Companies",33800,1
"Jackson Healthcare",33700,2
"Triple Creek Ranch",33600,3
"Thoma Bravo LLC",33600,3
"Hunt Consolidated",33600,6
"Southern Waste Systems",33600,3
"Sutherland Capital Management",33600,3
"Prospect Hotel Advisors",33600,3
"International Franchise Assn",33500,7
"Lynden Inc",33400,2
"Depository Trust & Clearing Corp",33400,5
"Genesee & Wyoming",33300,2
"Medistar Corp",33300,2
"Biloxi Freezing & Processing",33200,1
"Grosvenor Capital Management",33200,3
"Williams Brothers Construction                    ",33200,3
"Bechtel Group",33200,5
"Indiana University Health",33104,1
"Occidental Petroleum",33100,2
"RLJ Companies",33000,1
"Freeman Spogli & Co",33000,2
"Ozarks Coca-Cola Bottling",32900,2
"Dartmouth College",32803,2
"JUUL Labs                                         ",32800,1
"GE Johnson Construction",32800,2
"Magnolia Marketing",32800,2
"Emergent Biosolutions",32800,3
"AbbVie Inc",32750,7
"Boston University",32681,2
"Polaris Industries",32550,3
"Alaska Airlines",32515,1
"Blue Diamond Growers",32500,4
"Platte River Ventures",32400,1
"Southern Glazer's Wine & Spirits                  ",32400,1
"New Vernon Capital",32400,1
"Jim Wilson & Assoc",32400,2
"Sinclair Oil",32400,2
"Early, Lucarelli et al                  ",32392,1
"Florida Citrus Mutual",32279,5
"Weyerhaeuser Co",32250,2
"Amneal Pharmaceuticals",32200,1
"Rpm International",32200,2
"It Starts Today                                   ",32050,1
"Fitzgerald Glider Kits",32000,2
"American Academy of Family Physicians",32000,7
"Sanofi US",32000,5
"American Property Casualty Insurance Assn",32000,5
"Acadia Healthcare",31900,2
"Livingstones Foundation                           ",31800,2
"International Bank of Commerce",31800,2
"United Launch Alliance",31750,2
"Lieff, Cabraser et al                             ",31718,1
"Huntsman Corp",31600,1
"QC Holdings",31600,1
"Balch & Bingham",31450,2
"Becton, Dickinson & Co",31250,2
"S&B Engineers & Constructors",31200,3
"Fresenius Medical Care North America",31000,5
"Alabama Power",31000,4
"Lockridge Grindal Nauen Pllp",30912,3
"Murphy Oil",30900,3
"Belmark Inc                                       ",30700,1
"Land Title Guarantee Co",30700,1
"Society of Independent Gasoline Marketers",30500,7
"Huffines Communities",30500,2
"Shelter Group",30500,1
"University of Wisconsin/Milwaukee                 ",30490,1
"Adler, Pollock & Sheehan",30150,2
"Dominion Resources",30050,1
"American Waterways Operators",30000,4
"Public Service Enterprise Group",30000,5
"Fraternity & Sorority PAC",30000,4
"Arkansas Urology",30000,1
"Town Pump Inc",30000,2
"Eureka PAC",30000,3
"Freedom Fund",30000,3
"Southern Minn Beet Sugar Co-Op",30000,4
"Automotive Free International Trade PAC           ",30000,6
"Innovation PAC",30000,3
"Dirigo PAC",30000,3
"McStrauss Co",30000,1
"Value in Electing Women PAC",30000,4
"BRIDGE PAC",30000,6
"Blue Cross/Blue Shield of Alabama",30000,3
"Oceans PAC",30000,3
Impact,30000,3
"Ropes & Gray",29949,1
"US Airways",29900,1
"1st Financial Bank USA",29900,3
"Vulcan Materials",29900,4
"Quikrete Co",29800,1
"Chicago Board Options Exchange",29750,4
"Salt River Valley Water Users' Assn",29750,3
"Dallas Cowboys",29700,1
"Iowa Select Farms",29700,1
"Brown-Forman Corp",29600,3
"Gci Communication",29554,1
"Health Care Service Corp",29500,3
"Wellmark Inc",29500,2
"Cummins Inc",29384,1
"Mesirow Financial",29350,2
"JBG Smith",29300,1
"Bill Luke Chrysler/Jeep/Dodge",29300,3
"iHeartMedia Inc",29210,6
"Citizens Financial Group",29025,2
"Nuclear Energy Institute",29000,5
"Financial Services Institute",29000,4
