donation_number,donor,legislator,amount,releasedate
94,"Ballard Spahr LLP",N00027503,72053,"2019-10-16 00:00:00 +0000"
95,"Ross Feller Casey LLP",N00027503,67925,"2019-10-16 00:00:00 +0000"
96,"Rite Aid Corp",N00027503,65500,"2019-10-16 00:00:00 +0000"
97,"Edgar, Snyder & Assoc",N00027503,62855,"2019-10-16 00:00:00 +0000"
98,"Cozen O'Connor",N00027503,62250,"2019-10-16 00:00:00 +0000"
99,"Carlyle Group",N00027503,61600,"2019-10-16 00:00:00 +0000"
100,"Berger & Montague",N00027503,59775,"2019-10-16 00:00:00 +0000"
101,"Grace Healthcare",N00027441,28500,"2019-06-10 00:00:00 +0000"
102,"Goldman Sachs",N00027441,24900,"2019-06-10 00:00:00 +0000"
103,"Fedex Corp",N00027441,16200,"2019-06-10 00:00:00 +0000"
104,"Miller & Martin",N00027441,12936,"2019-06-10 00:00:00 +0000"
105,"AT&T Inc",N00027441,12000,"2019-06-10 00:00:00 +0000"
106,"Lf Holdings",N00027441,10800,"2019-06-10 00:00:00 +0000"
107,"Chambliss, Bahner & Stophel",N00027441,10530,"2019-06-10 00:00:00 +0000"
108,"Pointer Management",N00027441,10310,"2019-06-10 00:00:00 +0000"
109,"Baker, Donelson et al                   ",N00027441,10294,"2019-06-10 00:00:00 +0000"
110,"UBS Americas",N00027441,10126,"2019-06-10 00:00:00 +0000"
111,"21st Century Majority Fund",N00027441,10000,"2019-06-10 00:00:00 +0000"
112,"Bluegrass Cmte",N00027441,10000,"2019-06-10 00:00:00 +0000"
113,"Dentons US",N00027441,10000,"2019-06-10 00:00:00 +0000"
114,"Mid-Sized Bank Coalition",N00027441,10000,"2019-06-10 00:00:00 +0000"
115,"Nebraska Sandhills PAC",N00027441,10000,"2019-06-10 00:00:00 +0000"
116,"Project West PAC",N00027441,10000,"2019-06-10 00:00:00 +0000"
117,"Classic Wines",N00027441,8100,"2019-06-10 00:00:00 +0000"
118,"Franklin American Mortgage",N00027441,8100,"2019-06-10 00:00:00 +0000"
119,"Imagenet LLC",N00027441,8100,"2019-06-10 00:00:00 +0000"
120,"Press Ganey Assoc",N00027441,8100,"2019-06-10 00:00:00 +0000"
121,"EMILY's List",N00007364,108450,"2019-10-16 00:00:00 +0000"
122,"PG&E Corp",N00007364,51035,"2019-10-16 00:00:00 +0000"
123,"Pisces Inc",N00007364,45900,"2019-10-16 00:00:00 +0000"
124,"JPMorgan Chase & Co",N00007364,42300,"2019-10-16 00:00:00 +0000"
125,"Edison International",N00007364,39300,"2019-10-16 00:00:00 +0000"
126,"Akin, Gump et al",N00007364,35152,"2019-10-16 00:00:00 +0000"
127,"Estee Lauder Companies",N00007364,34400,"2019-10-16 00:00:00 +0000"
128,"General Atomics",N00007364,32525,"2019-10-16 00:00:00 +0000"
129,JStreetPAC,N00007364,32400,"2019-10-16 00:00:00 +0000"
130,"McStrauss Co",N00007364,30000,"2019-10-16 00:00:00 +0000"
131,"Qualcomm Inc",N00007364,29110,"2019-10-16 00:00:00 +0000"
132,"Democracy Engine",N00007364,28699,"2019-10-16 00:00:00 +0000"
133,"Casey, Gerry et al",N00007364,28650,"2019-10-16 00:00:00 +0000"
134,"Holland & Knight",N00007364,28650,"2019-10-16 00:00:00 +0000"
135,SpaceX,N00007364,28600,"2019-10-16 00:00:00 +0000"
136,"Manatt, Phelps & Phillips                         ",N00007364,27500,"2019-10-16 00:00:00 +0000"
137,"Molina Healthcare",N00007364,25300,"2019-10-16 00:00:00 +0000"
138,"Southern California Edison",N00007364,25112,"2019-10-16 00:00:00 +0000"
139,"Vail Resorts",N00007364,25010,"2019-10-16 00:00:00 +0000"
140,"San Francisco Unified School District",N00007364,24422,"2019-10-16 00:00:00 +0000"
141,"Votesane PAC",N00009869,107000,"2019-06-10 00:00:00 +0000"
142,"Ernst & Young",N00009869,76650,"2019-06-10 00:00:00 +0000"
143,"Microsoft Corp",N00009869,73100,"2019-06-10 00:00:00 +0000"
144,"Blackstone Group",N00009869,46400,"2019-06-10 00:00:00 +0000"
145,"Ryan LLC",N00009869,42600,"2019-06-10 00:00:00 +0000"
146,"Amgen Inc",N00009869,36110,"2019-06-10 00:00:00 +0000"
147,"Greenberg Traurig LLP",N00009869,34899,"2019-06-10 00:00:00 +0000"
148,"JPMorgan Chase & Co",N00009869,33300,"2019-06-10 00:00:00 +0000"
149,"Goldman Sachs",N00009869,33000,"2019-06-10 00:00:00 +0000"
150,"RLJ Companies",N00009869,33000,"2019-06-10 00:00:00 +0000"
151,"Boeing Co",N00009869,32250,"2019-06-10 00:00:00 +0000"
152,"Amneal Pharmaceuticals",N00009869,32200,"2019-06-10 00:00:00 +0000"
153,"Nickles Group",N00009869,32100,"2019-06-10 00:00:00 +0000"
154,"Medistar Corp",N00009869,30600,"2019-06-10 00:00:00 +0000"
155,"Comcast Corp",N00009869,29400,"2019-06-10 00:00:00 +0000"
156,"Tarplin, Downs & Young",N00009869,28300,"2019-06-10 00:00:00 +0000"
157,"Fresenius Medical Care",N00009869,26400,"2019-06-10 00:00:00 +0000"
158,"Fierce Government Relations",N00009869,25900,"2019-06-10 00:00:00 +0000"
159,"National Assn of Broadcasters",N00009869,25750,"2019-06-10 00:00:00 +0000"
160,"Fedex Corp",N00009869,25100,"2019-06-10 00:00:00 +0000"
161,"Delta Air Lines",N00027500,57819,"2019-10-16 00:00:00 +0000"
162,"Dorsey & Whitney",N00027500,57035,"2019-10-16 00:00:00 +0000"
163,"Cargill Inc",N00027500,49435,"2019-10-16 00:00:00 +0000"
164,"General Mills",N00027500,49410,"2019-10-16 00:00:00 +0000"
165,"University of Minnesota",N00027500,47273,"2019-10-16 00:00:00 +0000"
166,"Womencount PAC",N00027500,44156,"2019-10-16 00:00:00 +0000"
167,"Morgan Stanley",N00027500,43400,"2019-10-16 00:00:00 +0000"
168,"Land O'Lakes",N00027500,42555,"2019-10-16 00:00:00 +0000"
169,"Target Corp",N00027500,39621,"2019-10-16 00:00:00 +0000"
170,"Walt Disney Co                          ",N00027500,38781,"2019-10-16 00:00:00 +0000"
171,"Wachtell, Lipton et al",N00027500,37465,"2019-10-16 00:00:00 +0000"
172,"Microsoft Corp",N00027500,35970,"2019-10-16 00:00:00 +0000"
173,"US Bancorp",N00027500,34295,"2019-10-16 00:00:00 +0000"
174,"Xcel Energy",N00027500,33125,"2019-10-16 00:00:00 +0000"
175,"Robins Kaplan LLP",N00027500,31650,"2019-10-16 00:00:00 +0000"
176,"Medtronic Inc",N00027500,31010,"2019-10-16 00:00:00 +0000"
177,"Lockridge Grindal Nauen PLLP",N00027500,29148,"2019-10-16 00:00:00 +0000"
178,"Ecolab Inc",N00027500,28840,"2019-10-16 00:00:00 +0000"
179,"Marriott International",N00027500,27200,"2019-10-16 00:00:00 +0000"
180,"3M Co",N00027500,26819,"2019-10-16 00:00:00 +0000"
181,"EMILY's List",N00027694,613922,"2019-06-10 00:00:00 +0000"
182,"Washington University in St Louis",N00027694,418327,"2019-06-10 00:00:00 +0000"
183,"Simmons Hanly Conroy",N00027694,409550,"2019-06-10 00:00:00 +0000"
184,"University of Missouri",N00027694,177998,"2019-06-10 00:00:00 +0000"
185,"Centene Corp",N00027694,149248,"2019-06-10 00:00:00 +0000"
186,"Bryan, Cave et al",N00027694,148013,"2019-06-10 00:00:00 +0000"
187,"Votesane PAC",N00027694,109200,"2019-06-10 00:00:00 +0000"
188,JStreetPAC,N00027694,96603,"2019-06-10 00:00:00 +0000"
189,"Polsinelli PC                                     ",N00027694,92692,"2019-06-10 00:00:00 +0000"
190,"Google Inc",N00027694,88482,"2019-06-10 00:00:00 +0000"
191,"Express Scripts",N00027694,84288,"2019-06-10 00:00:00 +0000"
192,"Capital Group",N00027694,78349,"2019-06-10 00:00:00 +0000"
193,"Thompson Coburn LLP",N00027694,66323,"2019-06-10 00:00:00 +0000"
194,"Lieff, Cabraser et al                   ",N00027694,63325,"2019-06-10 00:00:00 +0000"
195,"Husch Blackwell LLP",N00027694,62839,"2019-06-10 00:00:00 +0000"
196,"State of Missouri",N00027694,62081,"2019-06-10 00:00:00 +0000"
197,"Korein Tillery LLC",N00027694,60950,"2019-06-10 00:00:00 +0000"
198,"Davis, Bethune & Jones",N00027694,59700,"2019-06-10 00:00:00 +0000"
199,"Bain Capital",N00027694,59565,"2019-06-10 00:00:00 +0000"
200,"St Louis University",N00027694,58681,"2019-06-10 00:00:00 +0000"
201,NorPAC,N00000699,248889,"2019-10-16 00:00:00 +0000"
202,"Lowenstein Sandler Llp",N00000699,62115,"2019-10-16 00:00:00 +0000"
203,"Paul, Weiss et al",N00000699,50750,"2019-10-16 00:00:00 +0000"
204,"Goldman Sachs",N00000699,48485,"2019-10-16 00:00:00 +0000"
205,"Gibbons PC",N00000699,47350,"2019-10-16 00:00:00 +0000"
206,"Panepinto Properties",N00000699,46000,"2019-10-16 00:00:00 +0000"
207,"Greenberg Traurig LLP",N00000699,40505,"2019-10-16 00:00:00 +0000"
208,"Motley Rice LLC",N00000699,40000,"2019-10-16 00:00:00 +0000"
209,"Mack-Cali Realty",N00000699,38200,"2019-10-16 00:00:00 +0000"
210,"Pachulski, Stang et al                  ",N00000699,35100,"2019-10-16 00:00:00 +0000"
211,"IDT Corp",N00000699,34900,"2019-10-16 00:00:00 +0000"
212,"Federated Investors Inc",N00000699,33500,"2019-10-16 00:00:00 +0000"
213,"Brownstein, Hyatt et al",N00000699,30250,"2019-10-16 00:00:00 +0000"
214,"Comcast Corp",N00000699,27205,"2019-10-16 00:00:00 +0000"
215,"Leon Medical Centers",N00000699,27000,"2019-10-16 00:00:00 +0000"
216,"Daybreak Express",N00000699,26900,"2019-10-16 00:00:00 +0000"
217,"Carella, Byrne et al",N00000699,25850,"2019-10-16 00:00:00 +0000"
218,"Akin, Gump et al",N00000699,24900,"2019-10-16 00:00:00 +0000"
219,"Waters McPherson Mcneill",N00000699,24800,"2019-10-16 00:00:00 +0000"
220,"Apollo Management                       ",N00000699,24300,"2019-10-16 00:00:00 +0000"
221,"Democracy Engine",N00009926,213174,"2019-06-10 00:00:00 +0000"
222,"Harris Corp",N00009926,108291,"2019-06-10 00:00:00 +0000"
223,"Google Inc",N00009926,80450,"2019-06-10 00:00:00 +0000"
224,"League of Conservation Voters",N00009926,71489,"2019-06-10 00:00:00 +0000"
225,"University of Florida",N00009926,67499,"2019-06-10 00:00:00 +0000"
226,"Akerman LLP",N00009926,59069,"2019-06-10 00:00:00 +0000"
227,"American Airlines",N00009926,47631,"2019-06-10 00:00:00 +0000"
228,"Leon Medical Centers",N00009926,46600,"2019-06-10 00:00:00 +0000"
229,"Comcast Corp",N00009926,46093,"2019-06-10 00:00:00 +0000"
230,"Greenberg Traurig LLP",N00009926,41541,"2019-06-10 00:00:00 +0000"
231,"Delta Air Lines",N00009926,41372,"2019-06-10 00:00:00 +0000"
232,"Boeing Co",N00009926,41346,"2019-06-10 00:00:00 +0000"
233,"Blackstone Group",N00009926,37737,"2019-06-10 00:00:00 +0000"
234,"Paul, Weiss et al",N00009926,37236,"2019-06-10 00:00:00 +0000"
235,"Berger Singerman PA",N00009926,36996,"2019-06-10 00:00:00 +0000"
236,"Holland & Knight",N00009926,36420,"2019-06-10 00:00:00 +0000"
237,"DaVita Inc",N00009926,36202,"2019-06-10 00:00:00 +0000"
238,"Microsoft Corp",N00009926,35240,"2019-06-10 00:00:00 +0000"
239,"US Government",N00009926,34984,"2019-06-10 00:00:00 +0000"
240,"Charter Communications",N00009926,34518,"2019-06-10 00:00:00 +0000"
241,"American Postal Workers Union",N00000528,15005,"2019-10-16 00:00:00 +0000"
242,"Google Inc",N00000528,10918,"2019-10-16 00:00:00 +0000"
243,Moveon.org,N00000528,10849,"2019-10-16 00:00:00 +0000"
244,"Service Employees International Union",N00000528,10496,"2019-10-16 00:00:00 +0000"
245,"University of Michigan",N00000528,10373,"2019-10-16 00:00:00 +0000"
246,"American Federation of Teachers",N00000528,10027,"2019-10-16 00:00:00 +0000"
247,"America Works",N00000528,10000,"2019-10-16 00:00:00 +0000"
248,"Climate Champions PAC",N00000528,10000,"2019-10-16 00:00:00 +0000"
249,"Fearless for the People",N00000528,10000,"2019-10-16 00:00:00 +0000"
250,"Transport Workers Union",N00000528,10000,"2019-10-16 00:00:00 +0000"
251,"US Postal Service",N00000528,8410,"2019-10-16 00:00:00 +0000"
252,"University of California/Berkeley",N00000528,8062,"2019-10-16 00:00:00 +0000"
253,"University of Maryland",N00000528,8008,"2019-10-16 00:00:00 +0000"
254,"Boeing Co",N00000528,7991,"2019-10-16 00:00:00 +0000"
255,"Columbia University",N00000528,7629,"2019-10-16 00:00:00 +0000"
256,"Dept of Children & Family Services",N00000528,7400,"2019-10-16 00:00:00 +0000"
257,"National Assn of Letter Carriers",N00000528,7000,"2019-10-16 00:00:00 +0000"
258,"University of California",N00000528,6643,"2019-10-16 00:00:00 +0000"
259,"Creighton University",N00000528,6082,"2019-10-16 00:00:00 +0000"
260,"Kaiser Permanente",N00000528,5716,"2019-10-16 00:00:00 +0000"
261,"EMILY's List",N00004118,208170,"2019-10-16 00:00:00 +0000"
262,"University of Michigan",N00004118,138313,"2019-10-16 00:00:00 +0000"
263,"Votesane PAC",N00004118,100475,"2019-10-16 00:00:00 +0000"
264,"Democratic Senatorial Campaign Cmte",N00004118,94800,"2019-10-16 00:00:00 +0000"
265,"Paul, Weiss et al",N00004118,87675,"2019-10-16 00:00:00 +0000"
266,DowDuPont,N00004118,79397,"2019-10-16 00:00:00 +0000"
267,"Democracy Engine",N00004118,69793,"2019-10-16 00:00:00 +0000"
268,"DTE Energy",N00004118,59068,"2019-10-16 00:00:00 +0000"
269,"Henry Ford Health System",N00004118,57743,"2019-10-16 00:00:00 +0000"
270,"Blue Cross/Blue Shield",N00004118,54350,"2019-10-16 00:00:00 +0000"
271,"Quicken Loans",N00004118,52095,"2019-10-16 00:00:00 +0000"
272,"Goldman Sachs",N00004118,47995,"2019-10-16 00:00:00 +0000"
273,"Ford Motor Co",N00004118,44630,"2019-10-16 00:00:00 +0000"
274,NorPAC,N00004118,42500,"2019-10-16 00:00:00 +0000"
275,"Citigroup Inc",N00004118,40963,"2019-10-16 00:00:00 +0000"
276,"Sterling Group",N00004118,40500,"2019-10-16 00:00:00 +0000"
277,"Delta Dental Plans Assn",N00004118,38200,"2019-10-16 00:00:00 +0000"
278,"Womencount PAC",N00004118,37133,"2019-10-16 00:00:00 +0000"
279,"Michigan State University",N00004118,36445,"2019-10-16 00:00:00 +0000"
280,"JPMorgan Chase & Co",N00004118,36010,"2019-10-16 00:00:00 +0000"
281,"League of Conservation Voters",N00027605,510845,"2019-10-16 00:00:00 +0000"
282,"Goldman Sachs",N00027605,136005,"2019-10-16 00:00:00 +0000"
283,"Paul, Weiss et al",N00027605,73083,"2019-10-16 00:00:00 +0000"
284,"Votesane PAC",N00027605,65750,"2019-10-16 00:00:00 +0000"
285,"State of Montana",N00027605,61896,"2019-10-16 00:00:00 +0000"
286,"BNSF Railway",N00027605,55786,"2019-10-16 00:00:00 +0000"
287,"Simmons Hanly Conroy",N00027605,54550,"2019-10-16 00:00:00 +0000"
288,"Robbins, Geller et al",N00027605,51400,"2019-10-16 00:00:00 +0000"
289,"Citigroup Inc",N00027605,48210,"2019-10-16 00:00:00 +0000"
290,"Democratic Senatorial Campaign Cmte",N00027605,47400,"2019-10-16 00:00:00 +0000"
291,"Charter Communications",N00027605,46913,"2019-10-16 00:00:00 +0000"
292,"Motley Rice LLC",N00027605,45400,"2019-10-16 00:00:00 +0000"
293,"Montana State University",N00027605,44991,"2019-10-16 00:00:00 +0000"
294,"University of Montana",N00027605,44726,"2019-10-16 00:00:00 +0000"
295,"Blackstone Group",N00027605,44300,"2019-10-16 00:00:00 +0000"
296,"Capital Group Companies",N00027605,42525,"2019-10-16 00:00:00 +0000"
297,"MetLife Inc",N00027605,42137,"2019-10-16 00:00:00 +0000"
298,"Brownstein, Hyatt et al",N00027605,38910,"2019-10-16 00:00:00 +0000"
299,"Williams Kherkher",N00027605,37800,"2019-10-16 00:00:00 +0000"
300,"Walt Disney Co",N00027605,37704,"2019-10-16 00:00:00 +0000"
301,"League of Conservation Voters",N00027533,178261,"2019-10-16 00:00:00 +0000"
302,"Democracy Engine",N00027533,75838,"2019-10-16 00:00:00 +0000"
303,"Motley Rice LLC",N00027533,33475,"2019-10-16 00:00:00 +0000"
304,"WilmerHale LLP",N00027533,33439,"2019-10-16 00:00:00 +0000"
305,"Brown University",N00027533,26399,"2019-10-16 00:00:00 +0000"
306,JStreetPAC,N00027533,22399,"2019-10-16 00:00:00 +0000"
307,"Kazan, McClain et al",N00027533,22300,"2019-10-16 00:00:00 +0000"
308,"Kleiner, Perkins et al",N00027533,18900,"2019-10-16 00:00:00 +0000"
309,"Ocean Champions",N00027533,18630,"2019-10-16 00:00:00 +0000"
310,"Adler, Pollock & Sheehan",N00027533,18400,"2019-10-16 00:00:00 +0000"
311,"Aloha Partners",N00027533,17900,"2019-10-16 00:00:00 +0000"
312,"CVS Health",N00027533,16535,"2019-10-16 00:00:00 +0000"
313,"DreamWorks SKG",N00027533,16200,"2019-10-16 00:00:00 +0000"
314,"Korein Tillery Llc",N00027533,16200,"2019-10-16 00:00:00 +0000"
315,"Technology Crossover Ventures",N00027533,16200,"2019-10-16 00:00:00 +0000"
316,"DISH Network",N00027533,15800,"2019-10-16 00:00:00 +0000"
317,"National Grid USA",N00027533,15300,"2019-10-16 00:00:00 +0000"
318,"Larkspur Management",N00027533,15050,"2019-10-16 00:00:00 +0000"
319,"Painters & Allied Trades Union",N00027533,14500,"2019-10-16 00:00:00 +0000"
320,"Masimo Corp",N00027533,14356,"2019-10-16 00:00:00 +0000"
321,"Delta Air Lines",N00006236,55600,"2019-10-16 00:00:00 +0000"
322,"Amgen Inc",N00006236,38150,"2019-10-16 00:00:00 +0000"
323,"Pinnacle West Capital",N00006236,35400,"2019-10-16 00:00:00 +0000"
324,"Blackstone Group",N00006236,32200,"2019-10-16 00:00:00 +0000"
325,"Chevron Corp",N00006236,31900,"2019-10-16 00:00:00 +0000"
326,"Fierce Government Relations",N00006236,27900,"2019-10-16 00:00:00 +0000"
327,"DISH Network",N00006236,25700,"2019-10-16 00:00:00 +0000"
328,"CVS Health",N00006236,24900,"2019-10-16 00:00:00 +0000"
329,"Capital Group Companies",N00006236,24500,"2019-10-16 00:00:00 +0000"
330,"NextEra Energy",N00006236,23500,"2019-10-16 00:00:00 +0000"
331,"Exelon Corp",N00006236,22400,"2019-10-16 00:00:00 +0000"
332,EmergeOrtho,N00006236,20400,"2019-10-16 00:00:00 +0000"
333,"BNSF Railway",N00006236,20000,"2019-10-16 00:00:00 +0000"
334,"Cloud Peak Energy Resources",N00006236,20000,"2019-10-16 00:00:00 +0000"
335,"Occidental Petroleum",N00006236,19300,"2019-10-16 00:00:00 +0000"
336,"Madison Dearborn Partners",N00006236,19000,"2019-10-16 00:00:00 +0000"
337,"S-3 Group",N00006236,19000,"2019-10-16 00:00:00 +0000"
338,"Brownstein, Hyatt et al",N00006236,18900,"2019-10-16 00:00:00 +0000"
339,"Common Values PAC",N00006236,18500,"2019-10-16 00:00:00 +0000"
340,"Williams Companies",N00006236,18000,"2019-10-16 00:00:00 +0000"
341,"BGR Group",N00003280,45200,"2019-10-16 00:00:00 +0000"
342,"BNSF Railway",N00003280,40000,"2019-10-16 00:00:00 +0000"
343,"Fresenius Medical Care",N00003280,38500,"2019-10-16 00:00:00 +0000"
344,"National Assn of Broadcasters",N00003280,33350,"2019-10-16 00:00:00 +0000"
345,"Telapex Inc",N00003280,32000,"2019-10-16 00:00:00 +0000"
346,NorPAC,N00003280,30220,"2019-10-16 00:00:00 +0000"
347,"Charter Communications",N00003280,29800,"2019-10-16 00:00:00 +0000"
348,"General Atomics",N00003280,29100,"2019-10-16 00:00:00 +0000"
349,"Sanderson Farms",N00003280,28500,"2019-10-16 00:00:00 +0000"
350,"Huntington Ingalls Industries",N00003280,25900,"2019-10-16 00:00:00 +0000"
351,"DISH Network",N00003280,25000,"2019-10-16 00:00:00 +0000"
352,"Comcast Corp",N00003280,24200,"2019-10-16 00:00:00 +0000"
353,"Genesee & Wyoming",N00003280,24100,"2019-10-16 00:00:00 +0000"
354,"Novogradac & Co",N00003280,24100,"2019-10-16 00:00:00 +0000"
