bioguide,id,first_name,last_name,birthday,gender,religion,address,district,party,phone,state,leg_type,url,latitude,longitude,age
A000367,N00031938,Justin,Amash,1980-04-18,M,,"114 Cannon HOB; Washington DC 20515-2203",3.0,Republican,202-225-3831,MI,rep,http://amash.house.gov,42.68498,-85.1894045,39
B001230,N00004367,Tammy,Baldwin,1962-02-11,F,,"717 Hart Washington DC 20510",2.0,Democrat,202-224-5653,WI,sen,https://www.baldwin.senate.gov,43.7844397,-88.7878678,57
B001269,N00025495,Lou,Barletta,1956-01-28,M,,"2049 Rayburn HOB; Washington DC 20515-3811",11.0,Republican,202-225-6511,PA,rep,http://barletta.house.gov,39.9772809,-76.2710833,63
B000213,N00005656,Joe,Barton,1949-09-15,M,Methodist,"2107 Rayburn HOB; Washington DC 20515-4306",6.0,Republican,202-225-2002,TX,rep,http://joebarton.house.gov,32.2711275,-96.663812,70
B001270,N00031877,Karen,Bass,1953-10-03,F,,"2241 Rayburn HOB; Washington DC 20515-0537",37.0,Democrat,202-225-7084,CA,rep,http://bass.house.gov,34.0160089,-118.3695699,66
B000287,N00009774,Xavier,Becerra,1958-01-26,M,"Roman Catholic","1226 Longworth HOB; Washington DC 20515-0534",34.0,Democrat,202-225-6235,CA,rep,http://becerra.house.gov,34.0642061,-118.2175744,61
B001267,N00030608,Michael,Bennet,1964-11-28,M,,"261 Russell Senate Office Building Washington DC 20510",,Democrat,202-224-5852,CO,sen,https://www.bennet.senate.gov,39.5500507,-105.7820674,54
B001257,N00027462,Gus,Bilirakis,1963-02-08,M,,"2112 Rayburn HOB; Washington DC 20515-0912",12.0,Republican,202-225-5755,FL,rep,https://bilirakis.house.gov,28.195549,-82.6483442,56
B001250,N00025292,Rob,Bishop,1951-07-13,M,"Latter Day Saints","123 Cannon HOB; Washington DC 20515-4401",1.0,Republican,202-225-0453,UT,rep,http://robbishop.house.gov,41.4310249,-111.4752851,68
B000490,N00002674,Sanford,Bishop,1947-02-04,M,Baptist,"2407 Rayburn HOB; Washington DC 20515-1002",2.0,Democrat,202-225-3631,GA,rep,http://bishop.house.gov,31.6897283,-84.4382721,72
B001273,N00031539,Diane,Black,1951-01-16,F,,"1131 Longworth HOB; Washington DC 20515-4206",6.0,Republican,202-225-4231,TN,rep,http://black.house.gov,36.1699997,-85.2722472,68
B001243,N00003105,Marsha,Blackburn,1952-06-06,F,Presbyterian,"2266 Rayburn HOB; Washington DC 20515-4207",7.0,Republican,202-225-2811,TN,rep,http://blackburn.house.gov,35.5467865,-87.8549755,67
B000574,N00007727,Earl,Blumenauer,1948-08-16,M,,"1111 Longworth HOB; Washington DC 20515-3703",3.0,Democrat,202-225-4811,OR,rep,http://blumenauer.house.gov,45.4002673,-122.1530407,71
B001277,N00031685,Richard,Blumenthal,1946-02-13,M,,"706 Hart Senate Office Building Washington DC 20510",,Democrat,202-224-2823,CT,sen,https://www.blumenthal.senate.gov,41.6032207,-73.087749,73
B000575,N00005195,Roy,Blunt,1950-01-10,M,Baptist,"260 Russell Senate Office Building Washington DC 20510",7.0,Republican,202-224-5721,MO,sen,http://www.blunt.senate.gov/public,37.9642529,-91.8318334,69
B001236,N00013873,John,Boozman,1950-12-10,M,,"141 Hart Senate Office Building Washington DC 20510",3.0,Republican,202-224-4843,AR,sen,https://www.boozman.senate.gov/public/index.cfm/home,35.20105,-91.8318334,68
B001245,N00024866,Madeleine,Bordallo,1933-05-31,F,Catholic,"2441 Rayburn HOB; Washington DC 20515-5301",0.0,Democrat,202-225-1188,GU,rep,http://bordallo.house.gov,13.4769474,144.7425932,86
B000755,N00005883,Kevin,Brady,1955-04-11,M,Catholic,"1011 Longworth HOB; Washington DC 20515-4308",8.0,Republican,202-225-4901,TX,rep,http://kevinbrady.house.gov,30.9599682,-95.5617279,64
B001227,N00001619,Robert,Brady,1945-04-07,M,,"2004 Rayburn HOB; Washington DC 20515-3801",1.0,Democrat,202-225-4731,PA,rep,http://brady.house.gov,40.4107964,-75.2479061,74
B001274,N00030910,Mo,Brooks,1954-04-29,M,,"2400 Rayburn HOB; Washington DC 20515-0105",5.0,Republican,202-225-4801,AL,rep,http://brooks.house.gov,34.6422851,-86.7416374,65
B001260,N00027626,Vern,Buchanan,1951-05-08,M,,"2104 Rayburn HOB; Washington DC 20515-0916",16.0,Republican,202-225-5015,FL,rep,https://buchanan.house.gov,27.4403152,-82.4752757,68
B001275,N00031227,Larry,Bucshon,1962-05-31,M,,"1005 Longworth HOB; Washington DC 20515-1408",8.0,Republican,202-225-4636,IN,rep,http://bucshon.house.gov,38.7837545,-87.0624261,57
B001248,N00025219,Michael,Burgess,1950-12-23,M,Episcopalian,"2336 Rayburn HOB; Washington DC 20515-4326",26.0,Republican,202-225-7772,TX,rep,http://burgess.house.gov,33.1418611,-97.179026,68
B001135,N00002221,Richard,Burr,1955-11-30,M,Methodist,"217 Russell Senate Office Building Washington DC 20510",5.0,Republican,202-224-3154,NC,sen,http://www.burr.senate.gov,35.7595731,-79.0192997,63
B001251,N00027035,George,Butterfield,1947-04-27,M,Baptist,"2080 Rayburn HOB; Washington DC 20515-3301",1.0,Democrat,202-225-3101,NC,rep,http://butterfield.house.gov,36.1121736,-77.3783789,72
C000059,N00007099,Ken,Calvert,1953-06-08,M,Protestant,"2205 Rayburn HOB; Washington DC 20515-0542",42.0,Republican,202-225-1986,CA,rep,http://calvert.house.gov,33.6577256,-117.2205771,66
C001047,N00009771,Shelley,Capito,1953-11-26,F,Presbyterian,"172 Russell Senate Office Building Washington DC 20510",2.0,Republican,202-224-6472,WV,sen,https://www.capito.senate.gov,38.5976262,-80.4549026,65
C001037,N00000267,Michael,Capuano,1952-01-09,M,"Roman Catholic","1414 Longworth HOB; Washington DC 20515-2107",7.0,Democrat,202-225-5111,MA,rep,http://capuano.house.gov,42.3284483,-71.0854325,67
C001072,N00029513,"André",Carson,1974-10-16,M,,"2135 Rayburn HOB; Washington DC 20515-1407",7.0,Democrat,202-225-4011,IN,rep,http://carson.house.gov,39.7114047,-86.1344697,45
C001051,N00025095,John,Carter,1941-11-06,M,Christian,"2110 Rayburn HOB; Washington DC 20515-4331",31.0,Republican,202-225-3864,TX,rep,http://carter.house.gov,30.8556523,-97.6114217,77
C001075,N00030245,Bill,Cassidy,1957-09-28,M,,"703 Hart Senate Office Building Washington DC 20510",6.0,Republican,202-224-5824,LA,sen,http://www.cassidy.senate.gov,30.9842977,-91.9623327,62
C001066,N00027514,Kathy,Castor,1966-08-20,F,,"2052 Rayburn HOB; Washington DC 20515-0914",14.0,Democrat,202-225-3376,FL,rep,http://castor.house.gov,27.8625703,-82.5185837,53
C000266,N00003689,Steve,Chabot,1953-01-22,M,Catholic,"2371 Rayburn HOB; Washington DC 20515-3501",1.0,Republican,202-225-2216,OH,rep,http://chabot.house.gov,39.4241422,-84.1857115,66
C001076,N00028958,Jason,Chaffetz,1967-03-26,M,,"2236 Rayburn HOB; Washington DC 20515-4403",3.0,Republican,202-225-7751,UT,rep,http://chaffetz.house.gov,39.0738385,-110.7122465,52
C001080,N00030600,Judy,Chu,1953-07-07,F,,"2423 Rayburn HOB; Washington DC 20515-0527",27.0,Democrat,202-225-5464,CA,rep,http://chu.house.gov,34.2993104,-117.9717606,66
C001084,N00032019,David,Cicilline,1961-07-15,M,,"2244 Rayburn HOB; Washington DC 20515-3901",1.0,Democrat,202-225-4911,RI,rep,http://cicilline.house.gov,41.9186239,-71.4299364,58
C001067,N00026961,Yvette,Clarke,1964-11-21,F,,"2058 Rayburn HOB; Washington DC 20515-3209",9.0,Democrat,202-225-6231,NY,rep,http://clarke.house.gov,40.6413077,-73.9477384,54
C001049,N00012460,Wm.,Clay,1956-07-27,M,"Roman Catholic","2428 Rayburn HOB; Washington DC 20515-2501",1.0,Democrat,202-225-2406,MO,rep,http://lacyclay.house.gov,38.6946226,-90.2620042,63
C001061,N00026790,Emanuel,Cleaver,1944-10-26,M,,"2335 Rayburn HOB; Washington DC 20515-2505",5.0,Democrat,202-225-4535,MO,rep,http://cleaver.house.gov,39.1695218,-93.9878427,74
C000537,N00002408,James,Clyburn,1940-07-21,M,"African Methodist Episcopal","242 Cannon HOB; Washington DC 20515-4006",6.0,Democrat,202-225-3315,SC,rep,http://clyburn.house.gov,33.2638803,-80.6326916,79
C001077,N00024753,Mike,Coffman,1955-03-19,M,,"2443 Rayburn HOB; Washington DC 20515-0606",6.0,Republican,202-225-7882,CO,rep,http://coffman.house.gov,39.7224701,-104.798771,64
C001068,N00003225,Steve,Cohen,1949-05-24,M,,"2404 Rayburn HOB; Washington DC 20515-4209",9.0,Democrat,202-225-3265,TN,rep,http://cohen.house.gov,35.2587907,-89.9626799,70
C001053,N00025726,Tom,Cole,1949-04-28,M,Methodist,"2467 Rayburn HOB; Washington DC 20515-3604",4.0,Republican,202-225-6165,OK,rep,http://cole.house.gov,34.4487481,-97.6114217,70
C001062,N00026041,K.,Conaway,1948-06-11,M,Baptist,"2430 Rayburn HOB; Washington DC 20515-4311",11.0,Republican,202-225-3605,TX,rep,http://conaway.house.gov,31.5792792,-100.2600125,71
C001078,N00029891,Gerald,Connolly,1950-03-30,M,,"2238 Rayburn HOB; Washington DC 20515-4611",11.0,Democrat,202-225-1492,VA,rep,http://connolly.house.gov,38.8082279,-77.2635038,69
C000714,N00004029,John,Conyers,1929-05-16,M,Baptist,"2426 Rayburn HOB; Washington DC 20515-2213",13.0,Democrat,202-225-5126,MI,rep,https://conyers.house.gov,42.2422814,-83.3789389,90
C000754,N00003132,Jim,Cooper,1954-06-19,M,Episcopalian,"1536 Longworth HOB; Washington DC 20515-4205",5.0,Democrat,202-225-4311,TN,rep,http://cooper.house.gov,36.1422976,-87.1422895,65
C001059,N00026341,Jim,Costa,1952-04-13,M,,"2081 Rayburn HOB; Washington DC 20515-0516",16.0,Democrat,202-225-3341,CA,rep,https://costa.house.gov,37.2009788,-120.7120023,67
C001069,N00024842,Joe,Courtney,1953-04-06,M,,"2348 Rayburn HOB; Washington DC 20515-0702",2.0,Democrat,202-225-2076,CT,rep,http://courtney.house.gov,41.6111489,-72.1416132,66
C000880,N00006267,Michael,Crapo,1951-05-20,M,"Latter Day Saints","239 Dirksen Senate Office Building Washington DC 20510",2.0,Republican,202-224-6142,ID,sen,http://www.crapo.senate.gov,44.0682019,-114.7420408,68
C001087,N00030770,Eric,Crawford,1966-01-22,M,,"2422 Rayburn HOB; Washington DC 20515-0401",1.0,Republican,202-225-4076,AR,rep,http://crawford.house.gov,35.5623995,-90.9056623,53
C001038,N00001127,Joseph,Crowley,1962-03-16,M,"Roman Catholic","1035 Longworth HOB; Washington DC 20515-3214",14.0,Democrat,202-225-3965,NY,rep,http://crowley.house.gov,40.8187535,-73.8066163,57
C001063,N00024978,Henry,Cuellar,1955-09-19,M,Catholic,"2209 Rayburn HOB; Washington DC 20515-4328",28.0,Democrat,202-225-1640,TX,rep,http://cuellar.house.gov,27.8174487,-99.0128926,64
C001048,N00009738,John,Culberson,1956-08-24,M,Methodist,"2161 Rayburn HOB; Washington DC 20515-4307",7.0,Republican,202-225-2571,TX,rep,http://culberson.house.gov,29.7834981,-95.6668306,63
C000984,N00001971,Elijah,Cummings,1951-01-18,M,Baptist,"2163 Rayburn HOB; Washington DC 20515-2007",7.0,Democrat,202-225-4741,MD,rep,http://cummings.house.gov,39.2662608,-76.7798172,68
D000096,N00004884,Danny,Davis,1941-09-06,M,Baptist,"2159 Rayburn HOB; Washington DC 20515-1307",7.0,Democrat,202-225-5006,IL,rep,http://davis.house.gov,41.8674569,-87.7271123,78
D000598,N00009604,Susan,Davis,1944-04-13,F,Jewish,"1214 Longworth HOB; Washington DC 20515-0553",53.0,Democrat,202-225-2040,CA,rep,http://susandavis.house.gov,32.7292602,-117.0087877,75
D000191,N00007781,Peter,DeFazio,1947-05-27,M,Catholic,"2134 Rayburn HOB; Washington DC 20515-3704",4.0,Democrat,202-225-6416,OR,rep,http://defazio.house.gov,43.4283946,-122.8114034,72
D000197,N00006134,Diana,DeGette,1957-07-29,F,Presbyterian,"2111 Rayburn HOB; Washington DC 20515-0601",1.0,Democrat,202-225-4431,CO,rep,http://degette.house.gov,39.698048,-104.9856176,62
D000216,N00000615,Rosa,DeLauro,1943-03-02,F,"Roman Catholic","2413 Rayburn HOB; Washington DC 20515-0703",3.0,Democrat,202-225-3661,CT,rep,http://delauro.house.gov,41.3728968,-72.8515479,76
D000612,N00031593,Jeff,Denham,1967-07-29,M,,"1730 Longworth HOB; Washington DC 20515-0510",10.0,Republican,202-225-4540,CA,rep,http://denham.house.gov,37.609984,-121.1710389,52
D000604,N00026171,Charles,Dent,1960-05-24,M,,"2082 Rayburn HOB; Washington DC 20515-3815",15.0,Republican,202-225-6411,PA,rep,https://dent.house.gov,41.0761428,-79.0192997,59
D000616,N00030957,Scott,DesJarlais,1964-02-21,M,,"2301 Rayburn HOB; Washington DC 20515-4204",4.0,Republican,202-225-6831,TN,rep,https://desjarlais.house.gov,35.687606,-86.4187308,55
D000610,N00031317,Theodore,Deutch,1966-05-07,M,,"2447 Rayburn HOB; Washington DC 20515-0922",22.0,Democrat,202-225-9890,FL,rep,http://teddeutch.house.gov,26.3806574,-80.0758425,53
D000600,N00025337,Mario,Diaz-Balart,1961-09-25,M,Catholic,"440 Cannon HOB; Washington DC 20515-0925",25.0,Republican,202-225-4211,FL,rep,http://mariodiazbalart.house.gov,26.0485819,-81.0754657,58
D000399,N00006023,Lloyd,Doggett,1946-10-06,M,Methodist,"2307 Rayburn HOB; Washington DC 20515-4335",35.0,Democrat,202-225-4865,TX,rep,http://doggett.house.gov,29.9723818,-97.8286368,73
D000607,N00026586,Joe,Donnelly,1955-09-28,M,,"720 Hart Senate Office Building Washington DC 20510",2.0,Democrat,202-224-4814,IN,sen,http://www.donnelly.senate.gov,40.2671941,-86.1349019,64
D000482,N00001373,Michael,Doyle,1953-08-05,M,"Roman Catholic","239 Cannon HOB; Washington DC 20515-3814",14.0,Democrat,202-225-2135,PA,rep,http://doyle.house.gov,40.0323996,-79.9192702,66
D000614,N00030967,Sean,Duffy,1971-10-03,M,,"2330 Rayburn HOB; Washington DC 20515-4907",7.0,Republican,202-225-3365,WI,rep,https://duffy.house.gov,45.9001586,-90.9346955,48
D000615,N00030752,Jeff,Duncan,1966-01-07,M,,"2229 Rayburn HOB; Washington DC 20515-4003",3.0,Republican,202-225-5301,SC,rep,http://jeffduncan.house.gov,34.4487481,-82.3885783,53
D000533,N00003209,John,Duncan,1947-07-21,M,Presbyterian,"2207 Rayburn HOB; Washington DC 20515-4202",2.0,Republican,202-225-5435,TN,rep,http://duncan.house.gov,36.0186934,-83.8473015,72
E000288,N00028257,Keith,Ellison,1963-08-04,M,,"2263 Rayburn HOB; Washington DC 20515-2305",5.0,Democrat,202-225-4755,MN,rep,http://ellison.house.gov,44.9896906,-93.3029007,56
E000179,N00001003,Eliot,Engel,1947-02-18,M,Jewish,"2462 Rayburn HOB; Washington DC 20515-3216",16.0,Democrat,202-225-2464,NY,rep,http://engel.house.gov,40.9417574,-73.77132,72
E000215,N00007335,Anna,Eshoo,1942-12-13,F,Catholic,"241 Cannon HOB; Washington DC 20515-0518",18.0,Democrat,202-225-8104,CA,rep,http://eshoo.house.gov,37.1846702,-122.0837445,76
F000460,N00031672,Blake,Farenthold,1961-12-12,M,,"2331 Rayburn HOB; Washington DC 20515-4327",27.0,Republican,202-225-7742,TX,rep,http://farenthold.house.gov,28.682899,-96.9209135,57
F000444,N00009573,Jeff,Flake,1962-12-31,M,"Latter Day Saints","413 Russell Senate Office Building Washington DC 20510",6.0,Republican,202-224-4521,AZ,sen,http://www.flake.senate.gov/public,34.0489281,-111.0937311,56
F000459,N00030815,Charles,Fleischmann,1962-10-11,M,,"2410 Rayburn HOB; Washington DC 20515-4203",3.0,Republican,202-225-3271,TN,rep,http://fleischmann.house.gov,36.3073389,-84.4382721,57
F000461,N00031545,Bill,Flores,1954-02-25,M,,"2440 Rayburn HOB; Washington DC 20515-4317",17.0,Republican,202-225-6105,TX,rep,http://flores.house.gov,31.277424,-96.5783387,65
F000449,N00026631,Jeff,Fortenberry,1960-12-27,M,,"1514 Longworth HOB; Washington DC 20515-2701",1.0,Republican,202-225-4806,NE,rep,https://fortenberry.house.gov,41.2334522,-96.9209135,58
F000450,N00026166,Virginia,Foxx,1943-06-29,F,"Roman Catholic","2262 Rayburn HOB; Washington DC 20515-3305",5.0,Republican,202-225-2071,NC,rep,http://foxx.house.gov,36.1897877,-81.0754657,76
F000448,N00006423,Trent,Franks,1957-06-19,M,Baptist,"2435 Rayburn HOB; Washington DC 20515-0308",8.0,Republican,202-225-4576,AZ,rep,http://franks.house.gov,33.6838029,-112.3814624,62
F000372,N00000684,Rodney,Frelinghuysen,1946-04-29,M,Episcopalian,"2306 Rayburn HOB; Washington DC 20515-3011",11.0,Republican,202-225-5034,NJ,rep,http://frelinghuysen.house.gov,40.8997514,-74.4525627,73
F000455,N00030490,Marcia,Fudge,1952-10-29,F,,"2344 Rayburn HOB; Washington DC 20515-3511",11.0,Democrat,202-225-7032,OH,rep,http://fudge.house.gov,41.6921165,-81.6035062,66
G000559,N00030856,John,Garamendi,1945-01-24,M,,"2438 Rayburn HOB; Washington DC 20515-0503",3.0,Democrat,202-225-1880,CA,rep,http://garamendi.house.gov,39.0182028,-121.8107079,74
G000562,N00030780,Cory,Gardner,1974-08-22,M,,"354 Russell Senate Office Building Washington DC 20510",4.0,Republican,202-224-5941,CO,sen,https://www.gardner.senate.gov,39.5500507,-105.7820674,45
G000563,N00031128,Bob,Gibbs,1954-06-14,M,,"2446 Rayburn HOB; Washington DC 20515-3507",7.0,Republican,202-225-6265,OH,rep,http://gibbs.house.gov,40.7826771,-82.3017728,65
G000552,N00026148,Louie,Gohmert,1953-08-18,M,Unknown,"2243 Rayburn HOB; Washington DC 20515-4301",1.0,Republican,202-225-3035,TX,rep,http://gohmert.house.gov,32.0926993,-94.5624426,66
G000289,N00009154,Bob,Goodlatte,1952-09-22,M,"Christian Scientist","2309 Rayburn HOB; Washington DC 20515-4606",6.0,Republican,202-225-5431,VA,rep,http://goodlatte.house.gov,38.0792424,-79.2902133,67
G000565,N00030771,Paul,Gosar,1958-11-22,M,,"2057 Rayburn HOB; Washington DC 20515-0304",4.0,Republican,202-225-2315,AZ,rep,http://gosar.house.gov,34.7021645,-113.0011989,60
G000566,N00030880,Trey,Gowdy,1964-08-22,M,,"2418 Rayburn HOB; Washington DC 20515-4004",4.0,Republican,202-225-6030,SC,rep,https://gowdy.house.gov,35.0472662,-82.12784,55
G000377,N00008799,Kay,Granger,1943-01-18,F,Methodist,"1026 Longworth HOB; Washington DC 20515-4312",12.0,Republican,202-225-5071,TX,rep,http://kaygranger.house.gov,32.7523708,-97.6982272,76
G000386,N00001758,Charles,Grassley,1933-09-17,M,Baptist,"135 Hart Senate Office Building Washington DC 20510",3.0,Republican,202-224-3744,IA,sen,http://www.grassley.senate.gov,41.8780025,-93.097702,86
G000546,N00013323,Sam,Graves,1963-11-07,M,Baptist,"1135 Longworth HOB; Washington DC 20515-2506",6.0,Republican,202-225-7041,MO,rep,https://graves.house.gov,40.2375221,-94.0695454,55
G000560,N00030788,Tom,Graves,1970-02-03,M,,"2078 Rayburn HOB; Washington DC 20515-1014",14.0,Republican,202-225-5211,GA,rep,http://tomgraves.house.gov,34.5878061,-85.1064373,49
